composition_id,title_id,type,tone,even_odd,group_id
41962,14317,Alleluia,,,20536
49200,14317,Alleluia,,,19413
76018,14337,Alleluia,,,33411
49319,14337,Alleluia,,,19454
40921,14671,Alleluia,,,20038
41671,14819,Alleluia,,,20404
43734,14819,Alleluia,,,20915
41689,14829,Alleluia,,,20420
43760,14829,Alleluia,,,20947
41930,14832,Alleluia,,,20423
5645,14833,Alleluia,,,5645
41722,14833,Alleluia,,,20425
43715,14833,Alleluia,,,20891
64022,14833,Alleluia,,,27923
65854,14833,Alleluia,,,28870
88749,14833,Alleluia,,,39049
89648,14833,Alleluia,,,39594
89728,14833,Alleluia,,,39642
93790,14833,Alleluia,,,41562
49221,14833,Alleluia,,,19434
41739,14845,Alleluia,,,20442
87193,14845,Alleluia,,,38339
41748,14847,Alleluia,,,20444
76017,14847,Alleluia,,,33412
96682,14847,Alleluia,,,41581
41754,14852,Alleluia,,,20450
43759,14852,Alleluia,,,20943
41758,14854,Alleluia,,,20454
25877,14854,Alleluia,,,14878
41793,14858,Alleluia,,,20459
41902,14888,Alleluia,,,23733
64037,14888,Alleluia,,,27929
93775,14888,Alleluia,,,41547
81248,14888,Alleluia,,,35648
97274,14888,Alleluia,,,43410
41965,14914,Alleluia,,,20539
2683,14916,Alleluia,,,2683
5701,14916,Alleluia,,,5701
41968,14916,Alleluia,,,20542
41969,14917,Alleluia,,,20543
43711,14917,Alleluia,,,20887
49211,14917,Alleluia,,,19424
288,14921,Alleluia,,,288
1627,14955,Alleluia,,,1627
42859,14955,Alleluia,,,20618
42862,14956,Alleluia,,,20621
42865,14959,Alleluia,,,20624
282,14971,Alleluia,,,282
42883,14971,Alleluia,,,20642
42888,14976,Alleluia,,,20647
42891,14979,Alleluia,,,20650
42894,14982,Alleluia,,,20653
42897,14984,Alleluia,,,20656
42900,14986,Alleluia,,,20659
42903,14988,Alleluia,,,20662
42909,14992,Alleluia,,,20668
42914,14997,Alleluia,,,20674
42917,14999,Alleluia,,,20677
279,15041,Alleluia,,,279
42880,15041,Alleluia,,,20639
42977,15059,Alleluia,,,20736
42919,15064,Alleluia,,,20680
42985,15067,Alleluia,,,20744
43731,15124,Alleluia,,,20911
43721,15146,Alleluia,,,20899
43755,15156,Alleluia,,,20955
43762,15157,Alleluia,,,20951
44396,15173,Alleluia,,,20976
44400,15176,Alleluia,,,20980
81438,15176,Alleluia,,,35716
44401,15177,Alleluia,,,20981
44402,15178,Alleluia,,,20982
44412,15186,Alleluia,,,20993
76031,15186,Alleluia,,,33434
44413,15187,Alleluia,,,20994
81436,15187,Alleluia,,,35718
44414,15188,Alleluia,,,20995
81434,15188,Alleluia,,,35720
44416,15189,Alleluia,,,20997
44418,15190,Alleluia,,,20999
81435,15190,Alleluia,,,35719
44419,15191,Alleluia,,,21000
44420,15192,Alleluia,,,21001
44432,15203,Alleluia,,,21017
44433,15204,Alleluia,,,21018
44434,15205,Alleluia,,,21019
44445,15222,Alleluia,,,21046
44446,15223,Alleluia,,,21047
81468,15223,Alleluia,,,35723
44447,15224,Alleluia,,,21048
44448,15225,Alleluia,,,21049
44449,15226,Alleluia,,,21050
44450,15227,Alleluia,,,21051
44458,15238,Alleluia,,,21069
81466,15238,Alleluia,,,35725
44459,15239,Alleluia,,,21070
81465,15239,Alleluia,,,35726
44460,15240,Alleluia,,,21071
5667,15260,Alleluia,,,5667
41871,15260,Alleluia,,,20496
44468,15260,Alleluia,,,21101
81226,15260,Alleluia,,,35642
44476,15266,Alleluia,,,21126
75984,15266,Alleluia,,,33418
27293,15266,Alleluia,,,15446
6251,17771,Alleluia,,,6251
53712,17985,Alleluia,,,20518
53713,17986,Alleluia,,,23732
56865,18703,Alleluia,,,24998
64020,20528,Alleluia,,,27921
64051,20532,Alleluia,,,27938
64058,20536,Alleluia,,,27945
64061,20537,Alleluia,,,27948
81769,20537,Alleluia,,,35848
49346,20537,Alleluia,,,19481
67345,21264,Alleluia,,,29341
67350,21268,Alleluia,,,29346
67369,21273,Alleluia,,,29354
71613,22507,Alleluia,,,31094
75942,23368,Alleluia,,,27934
96678,23368,Alleluia,,,41577
3616,23369,Alleluia,,,3616
4548,23369,Alleluia,,,4548
41887,23369,Alleluia,,,20512
75941,23369,Alleluia,,,27913
89615,23369,Alleluia,,,39560
93765,23369,Alleluia,,,41537
49123,23369,Alleluia,,,19376
87169,23369,Alleluia,,,38315
4648,23370,Alleluia,,,4648
41906,23370,Alleluia,,,20522
43695,23370,Alleluia,,,20870
76011,23370,Alleluia,,,33388
4661,23373,Alleluia,,,4661
76016,23373,Alleluia,,,33414
49337,23373,Alleluia,,,19472
76021,23376,Alleluia,,,33420
71275,23376,Alleluia,,,31013
76022,23377,Alleluia,,,33421
76024,23379,Alleluia,,,33426
76026,23380,Alleluia,,,33429
76038,23385,Alleluia,,,33442
76039,23386,Alleluia,,,33443
76565,23481,Alleluia,,,4955
79495,23911,Alleluia,,,34924
92667,23911,Alleluia,,,41158
81149,24311,Alleluia,,,35636
91333,24311,Alleluia,,,40467
81153,24313,Alleluia,,,35640
81432,24491,Alleluia,,,35714
82231,24810,Alleluia,,,36063
88747,26834,Alleluia,,,39045
89619,26834,Alleluia,,,39564
88757,26837,Alleluia,,,39052
88758,26838,Alleluia,,,39054
88759,26839,Alleluia,,,39056
88760,26840,Alleluia,,,39057
89642,26840,Alleluia,,,39588
89606,27064,Alleluia,,,39551
89609,27065,Alleluia,,,39554
89617,27066,Alleluia,,,39562
89622,27068,Alleluia,,,39567
89631,27070,Alleluia,,,39577
89635,27072,Alleluia,,,39581
89639,27074,Alleluia,,,39585
49202,27074,Alleluia,,,19415
89645,27075,Alleluia,,,39591
89651,27076,Alleluia,,,39597
89654,27078,Alleluia,,,39600
89661,27079,Alleluia,,,20927
89662,27080,Alleluia,,,20931
89660,27081,Alleluia,,,20923
91112,27452,Alleluia,,,40344
91116,27455,Alleluia,,,40350
91118,27456,Alleluia,,,40353
91120,27458,Alleluia,,,40356
91127,27461,Alleluia,,,40362
92666,27897,Alleluia,,,41157
93032,27992,Alleluia,,,39048
96373,29039,Alleluia,,,43002
26787,11052,Alleluia,,,16063
27657,11501,Alleluia,,,15239
49411,16729,Alleluia,,,19521
50190,17172,Alleluia,,,21498
69996,22028,Alleluia,,,20408
81243,24434,Alleluia,,,35653
81464,24531,Alleluia,,,35727
81467,24534,Alleluia,,,35724
81469,24536,Alleluia,,,35722
81433,24537,Alleluia,,,35721
81437,24541,Alleluia,,,35717
87190,26304,Alleluia,,,38336
87824,26566,Alleluia,,,38599
87835,26577,Alleluia,,,38611
93770,28132,Alleluia,,,41542
93780,28142,Alleluia,,,41552
93784,28146,Alleluia,,,41556
