id,language
884,Latin
885,Latin
887,Latin
888,Latin
890,Latin
891,Latin
892,Latin
893,Latin
894,Latin
895,Latin
896,Latin
897,Latin
899,Latin
900,Latin
901,Latin
902,Latin
903,Latin
904,Latin
906,Latin
908,Latin
910,Latin
911,Latin
913,Latin
917,Latin
918,Latin
919,Latin
920,Latin
921,Latin
922,Latin
923,Latin
924,Latin
925,Latin
926,Latin
928,Latin
932,Latin
933,Latin
934,Latin
936,Latin
937,Latin
939,Latin
941,Latin
942,Latin
943,Latin
944,Latin
945,Latin
946,Latin
948,Latin
949,Latin
950,Latin
951,Latin
952,Latin
953,Latin
954,Latin
955,Latin
956,Latin
957,Latin
958,Latin
959,Latin
960,Latin
961,Latin
962,Latin
963,Latin
964,Latin
965,Latin
966,Latin
968,Latin
969,Latin
971,Latin
972,Latin
974,Latin
975,Latin
977,Latin
979,Latin
980,Latin
986,Latin
987,Latin
988,Latin
990,Latin
992,Latin
994,Latin
995,Latin
996,Latin
997,Latin
998,Latin
999,Latin
1002,Latin
1003,Latin
1004,Latin
1005,Latin
1006,Latin
1007,Latin
1008,Latin
1009,Latin
1010,Latin
1011,Latin
1012,Latin
1013,Latin
1014,Latin
1015,Latin
1016,Latin
1017,Latin
1019,Latin
1020,Latin
1022,Latin
1023,Latin
1024,Latin
1025,Latin
1026,Latin
1030,Latin
1031,Latin
1032,Latin
1033,Latin
1034,Latin
1036,Latin
1037,Latin
1040,Latin
1043,Latin
1044,Latin
1045,Latin
1046,Latin
1048,Latin
1049,Latin
1050,Latin
1051,Latin
1053,Latin
1055,Latin
1056,Latin
1057,Latin
1058,Latin
1062,Latin
1063,Latin
1066,Latin
1067,Latin
1068,Latin
1071,Latin
1072,Latin
1073,Latin
1074,Latin
1075,Latin
1076,Latin
1077,Latin
1078,Latin
1082,Latin
1083,Latin
1084,Latin
1085,Latin
1086,Latin
1087,Latin
1089,Latin
1090,Latin
1091,Latin
1092,Latin
1093,Latin
1095,Latin
1099,Latin
1100,Latin
1103,Latin
1104,Latin
1105,Latin
1106,Latin
1108,Latin
1109,Latin
1110,Latin
1111,Latin
1112,Latin
1114,Latin
1115,Latin
1117,Latin
1118,Latin
1120,Latin
1121,Latin
1122,Latin
1124,Latin
1125,Latin
1127,Latin
1129,Latin
1131,Latin
1133,Latin
1134,Latin
1135,Latin
1136,Latin
1137,Latin
1138,Latin
1139,Latin
1140,Latin
1141,Latin
1142,Latin
1143,Latin
1145,Latin
1146,Latin
1147,Latin
1148,Latin
1151,Latin
1152,Latin
1154,Latin
1155,Latin
1156,Latin
1157,Latin
1159,Latin
1160,Latin
1161,Latin
1162,Latin
1163,Latin
1164,Latin
1165,Latin
1166,Latin
1168,Latin
1169,Latin
1170,Latin
1172,Latin
1173,Latin
1174,Latin
1175,Latin
1176,Latin
1178,Latin
1181,Latin
1184,Latin
1186,Latin
1187,Latin
1189,Latin
1190,Latin
1193,Latin
1194,Latin
1195,Latin
1196,English
1197,English
1198,English
1199,English
1200,English
1201,English
1202,English
1203,English
1204,English
1205,English
1206,English
1207,English
1208,English
1209,Latin
1211,Latin
1213,Latin
1214,Latin
1215,Latin
1216,Latin
1221,Latin
1222,Latin
1223,Latin
1225,Latin
1227,Latin
1228,Latin
1229,Latin
1230,Latin
1231,Latin
1234,Latin
1235,Latin
1236,Latin
1237,Latin
1238,Latin
1239,Latin
1241,Latin
1242,Latin
1243,Latin
1244,Latin
1245,Latin
1246,Latin
1247,Latin
1249,Latin
1250,Latin
1251,Latin
1252,Latin
1253,Latin
1257,Latin
1260,Latin
1261,Latin
1262,Latin
1264,Latin
1265,Latin
1268,Latin
1269,Latin
1271,Latin
1273,English
1274,English
1275,Latin
1278,Latin
1279,Italian
1280,Latin
1281,Latin
1282,Latin
1283,Latin
1284,Latin
1285,Latin
1286,Latin
1287,Latin
1288,Latin
1289,Latin
1290,Latin
1291,Latin
1292,Latin
1293,Latin
1294,Latin
1295,Latin
1296,Latin
1297,Latin
1301,Latin
1302,Latin
1303,Latin
1305,Latin
1306,Latin
1307,Latin
1308,Latin
1309,Latin
1310,Latin
1311,Latin
1313,Latin
1314,Latin
1315,Latin
1316,Latin
1318,Latin
1319,Latin
1320,Latin
1321,Latin
1324,Latin
1325,Latin
1326,Latin
1327,Latin
1328,Latin
1330,Latin
1331,Latin
1332,Latin
1333,Latin
1335,Latin
1337,Latin
1338,Latin
1340,Latin
1342,Latin
1343,Latin
1344,Latin
1345,Latin
1347,Latin
1348,Latin
1349,Latin
1351,Latin
1353,Latin
1354,Latin
1355,Latin
1356,Latin
1357,Latin
1360,Latin
1362,Latin
1363,Latin
1366,Latin
1367,Latin
1368,Latin
1370,Latin
1371,Italian
1372,Latin
1373,Latin
1374,Latin
1375,Latin
1376,Latin
1377,Latin
1379,Latin
1380,Latin
1381,Latin
1382,Latin
1383,Latin
1384,Latin
1385,Latin
1386,Latin
1388,Latin
1389,Latin
1391,Latin
1392,Latin
1393,Latin
1394,Latin
1398,Latin
1399,Latin
1401,Italian
1403,Latin
1406,Latin
1408,Latin
1409,Latin
1410,Latin
1411,Latin
1412,Latin
1415,Latin
1418,Latin
1419,Latin
1421,Latin
1423,Latin
1424,Latin
1425,Latin
1426,Latin
1431,Spanish
1434,Latin
1435,Latin
1436,Latin
1439,Latin
1440,Latin
1441,Latin
1446,Latin
1447,Latin
1448,Latin
1449,Latin
1450,Latin
1451,Latin
1452,Latin
1453,Latin
1454,Latin
1455,Latin
1456,Latin
1458,Latin
1459,Latin
1460,Latin
1461,Latin
1462,Latin
1463,Latin
1464,Latin
1465,Latin
1466,Latin
1467,Latin
1468,Latin
1469,Latin
1471,Latin
1472,Latin
1474,Latin
1475,Latin
1476,Latin
1478,Latin
1479,Latin
1480,Latin
1481,Latin
1482,Latin
1483,Latin
1484,Latin
1485,Latin
1486,Latin
1487,Latin
1488,Latin
1489,Latin
1490,Latin
1491,Latin
1493,Latin
1494,Latin
1497,Latin
1499,Latin
1500,Latin
1502,Latin
1503,Latin
1505,Latin
1507,Latin
1510,Latin
1511,English
1512,English
1513,English
